corpus,year,frame,frame_label,outlet_clean,level,pct,n_present,n_applicable
climate,2014,securitization,Securitization,,all_outlets,40.7407,11,27
climate,2015,securitization,Securitization,,all_outlets,52.381,22,42
climate,2016,securitization,Securitization,,all_outlets,50.0,13,26
climate,2017,securitization,Securitization,,all_outlets,48.9362,23,47
climate,2018,securitization,Securitization,,all_outlets,56.8966,33,58
climate,2019,securitization,Securitization,,all_outlets,47.0,47,100
climate,2020,securitization,Securitization,,all_outlets,45.7944,49,107
climate,2021,securitization,Securitization,,all_outlets,49.7872,117,235
climate,2022,securitization,Securitization,,all_outlets,44.6078,91,204
climate,2023,securitization,Securitization,,all_outlets,43.9462,98,223
climate,2014,othering,Othering,,all_outlets,14.8148,4,27
climate,2015,othering,Othering,,all_outlets,11.9048,5,42
climate,2016,othering,Othering,,all_outlets,3.8462,1,26
climate,2017,othering,Othering,,all_outlets,4.2553,2,47
climate,2018,othering,Othering,,all_outlets,6.8966,4,58
climate,2019,othering,Othering,,all_outlets,13.0,13,100
climate,2020,othering,Othering,,all_outlets,1.8692,2,107
climate,2021,othering,Othering,,all_outlets,9.7872,23,235
climate,2022,othering,Othering,,all_outlets,13.2353,27,204
climate,2023,othering,Othering,,all_outlets,13.0045,29,223
climate,2014,agency,Agency,,all_outlets,100.0,27,27
climate,2015,agency,Agency,,all_outlets,97.619,41,42
climate,2016,agency,Agency,,all_outlets,92.3077,24,26
climate,2017,agency,Agency,,all_outlets,100.0,47,47
climate,2018,agency,Agency,,all_outlets,98.2759,57,58
climate,2019,agency,Agency,,all_outlets,98.0,98,100
climate,2020,agency,Agency,,all_outlets,100.0,107,107
climate,2021,agency,Agency,,all_outlets,99.1489,233,235
climate,2022,agency,Agency,,all_outlets,96.5686,197,204
climate,2023,agency,Agency,,all_outlets,98.6547,220,223
climate,2014,conflict,Conflict,AD,by_outlet,50.0,1,2
climate,2015,conflict,Conflict,AD,by_outlet,50.0,2,4
climate,2016,conflict,Conflict,AD,by_outlet,50.0,1,2
climate,2017,conflict,Conflict,AD,by_outlet,50.0,2,4
climate,2018,conflict,Conflict,AD,by_outlet,83.3333,5,6
climate,2019,conflict,Conflict,AD,by_outlet,60.6061,20,33
climate,2020,conflict,Conflict,AD,by_outlet,54.8387,17,31
climate,2021,conflict,Conflict,AD,by_outlet,59.4203,41,69
climate,2022,conflict,Conflict,AD,by_outlet,57.8947,33,57
climate,2023,conflict,Conflict,AD,by_outlet,54.2857,38,70
climate,2014,human_interest,Human Interest,AD,by_outlet,0.0,0,2
climate,2015,human_interest,Human Interest,AD,by_outlet,25.0,1,4
climate,2016,human_interest,Human Interest,AD,by_outlet,0.0,0,2
climate,2017,human_interest,Human Interest,AD,by_outlet,50.0,2,4
climate,2018,human_interest,Human Interest,AD,by_outlet,0.0,0,6
climate,2019,human_interest,Human Interest,AD,by_outlet,42.4242,14,33
climate,2020,human_interest,Human Interest,AD,by_outlet,38.7097,12,31
climate,2021,human_interest,Human Interest,AD,by_outlet,52.1739,36,69
climate,2022,human_interest,Human Interest,AD,by_outlet,47.3684,27,57
climate,2023,human_interest,Human Interest,AD,by_outlet,51.4286,36,70
climate,2014,economic,Economic,AD,by_outlet,100.0,2,2
climate,2015,economic,Economic,AD,by_outlet,50.0,2,4
climate,2016,economic,Economic,AD,by_outlet,100.0,2,2
climate,2017,economic,Economic,AD,by_outlet,75.0,3,4
climate,2018,economic,Economic,AD,by_outlet,83.3333,5,6
climate,2019,economic,Economic,AD,by_outlet,54.5455,18,33
climate,2020,economic,Economic,AD,by_outlet,54.8387,17,31
climate,2021,economic,Economic,AD,by_outlet,47.8261,33,69
climate,2022,economic,Economic,AD,by_outlet,49.1228,28,57
climate,2023,economic,Economic,AD,by_outlet,45.7143,32,70
climate,2014,deservingness,Deservingness,AD,by_outlet,50.0,1,2
climate,2015,deservingness,Deservingness,AD,by_outlet,0.0,0,4
climate,2016,deservingness,Deservingness,AD,by_outlet,0.0,0,2
climate,2017,deservingness,Deservingness,AD,by_outlet,0.0,0,4
climate,2018,deservingness,Deservingness,AD,by_outlet,0.0,0,6
climate,2019,deservingness,Deservingness,AD,by_outlet,12.1212,4,33
climate,2020,deservingness,Deservingness,AD,by_outlet,3.2258,1,31
climate,2021,deservingness,Deservingness,AD,by_outlet,5.7971,4,69
climate,2022,deservingness,Deservingness,AD,by_outlet,10.5263,6,57
climate,2023,deservingness,Deservingness,AD,by_outlet,11.4286,8,70
climate,2014,responsibility,Responsibility,AD,by_outlet,100.0,2,2
climate,2015,responsibility,Responsibility,AD,by_outlet,75.0,3,4
climate,2016,responsibility,Responsibility,AD,by_outlet,100.0,2,2
climate,2017,responsibility,Responsibility,AD,by_outlet,100.0,4,4
climate,2018,responsibility,Responsibility,AD,by_outlet,100.0,6,6
climate,2019,responsibility,Responsibility,AD,by_outlet,90.9091,30,33
